time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735374	0.629505	7.20296	-3.17522e-17	-1.41792e-17	radar	74.6929	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.494945	7.20603	-0.127198	-0.0118563	lidar	0.221036	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25803	0.53308	7.19127	0.122742	0.0306353	radar	1.82492	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.6158	0.59536	7.20474	0.161551	0.0462396	lidar	0.16747	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.8511	0.561868	6.01134	0.025338	-0.233834	radar	7.70413	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16299	0.591231	6.01095	0.0400381	-0.178032	lidar	0.25403	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.3789	0.637116	5.60879	0.0557384	-0.343083	radar	6.30488	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65628	0.654179	5.60614	0.0444515	-0.321066	lidar	0.00856253	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92275	0.647724	5.54098	-0.00348479	-0.475122	radar	0.428895	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15875	0.64327	5.49693	-0.0168853	-0.439956	lidar	1.20467	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44424	0.539305	5.52887	-0.165199	-0.853364	radar	1.26709	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74733	0.427093	5.59433	-0.283724	-1.07362	lidar	2.07562	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02824	0.511154	5.55517	-0.147124	-0.551027	radar	4.16097	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30221	0.503042	5.53753	-0.140122	-0.467605	lidar	0.378522	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56314	0.53836	5.45896	-0.100505	-0.332443	radar	2.12376	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75348	0.644103	5.30184	-0.000670404	-0.0900053	lidar	13.0359	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.00604	0.642308	5.23933	-0.00948603	-0.100472	radar	2.0215	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.30654	0.640165	5.28724	-0.0149217	-0.101019	lidar	2.38186	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56431	0.64807	5.29973	-0.00872661	-0.0798779	radar	1.7089	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.85741	0.665193	5.33106	0.000411912	-0.0578961	lidar	1.53875	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.10077	0.591114	5.27406	-0.053663	-0.142166	radar	3.77675	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.35681	0.705389	5.24775	0.0220188	-0.0142212	lidar	4.04719	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.60797	0.736356	5.21075	0.0362073	0.00731323	radar	0.733001	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.85546	0.736006	5.19679	0.0309767	-0.000609699	lidar	0.310007	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.10019	0.718554	5.12862	0.0148548	-0.0249167	radar	3.26596	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.32145	0.803579	5.08295	0.0600286	0.0388015	lidar	3.39451	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.61067	0.814895	5.16371	0.0595324	0.0360086	radar	4.05127	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.86033	0.794517	5.15493	0.0423407	0.0111429	lidar	0.52587	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.11127	0.811621	5.10919	0.0452158	0.0127998	radar	2.49734	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.34885	0.830366	5.08857	0.0500732	0.0184087	lidar	0.536959	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.61495	0.918026	5.15335	0.0899838	0.0697519	radar	6.92739	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.85165	0.978236	5.13106	0.112556	0.0942015	lidar	0.920446	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.13884	1.01709	5.18046	0.120391	0.097701	radar	6.6532	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.37555	1.05128	5.15663	0.127346	0.10062	lidar	0.743511	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.65278	1.12302	5.20109	0.150437	0.123091	radar	4.53417	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92355	1.25181	5.22805	0.199733	0.177232	lidar	3.21595	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1731	1.34315	5.18802	0.229197	0.205125	radar	4.6713	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3985	1.4258	5.16011	0.252086	0.221635	lidar	1.24884	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6321	1.51422	5.0942	0.278276	0.244643	radar	4.11085	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.859	1.5463	5.06444	0.273134	0.223365	lidar	1.37594	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1231	1.59823	5.09606	0.273259	0.208073	radar	1.84595	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4011	1.64375	5.12858	0.268879	0.188728	lidar	1.8811	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6333	1.70335	5.08967	0.276246	0.18777	radar	0.94762	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8639	1.76797	5.07198	0.284247	0.186325	lidar	0.400562	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1177	1.85799	5.11557	0.299328	0.191438	radar	1.34257	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3611	1.88584	5.09817	0.285983	0.162816	lidar	0.752779	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6158	1.94611	5.13191	0.285366	0.149613	radar	0.997715	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8158	2.08161	5.10199	0.327444	0.193454	lidar	3.31792	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0799	2.18732	5.17678	0.341742	0.19474	radar	3.59158	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2826	2.32922	5.15196	0.381732	0.232963	lidar	2.49777	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
